mHz- from clock,Flourescence,Lorentian,Predicted,Residuals,Voigt1,Predicted 1,Residuals 1,Gaussian,Predicted 2,Residuals 2,Parameters,Predicted 3,Residuals 3
-1.600000000000000e+1,2.105000000000000e+3,,2.330814752555915e+3,-2.258147525559152e+2,,2.275248091728068e+3,-1.702480917280677e+2,,2.277431881635477e+3,-1.724318816354771e+2,,2.325925499105424e+3,-2.209254991054236e+2
-1.200000000000000e+1,1.878000000000000e+3,,1.960006811521198e+3,-8.200681152119797e+1,,1.888943830133520e+3,-1.094383013351990e+1,,1.890724128178774e+3,-1.272412817877375e+1,,1.508804567618353e+3,3.691954323816467e+2
-8.000000000000000e+0,6.830000000000000e+2,,1.604607024980291e+3,-9.216070249802915e+2,,1.532697942939214e+3,-8.496979429392141e+2,,1.533940493183210e+3,-8.509404931832101e+2,,7.472826347850246e+2,-6.428263478502470e+1
-4.000000000000000e+0,6.890000000000000e+2,,1.286882704267718e+3,-5.978827042677176e+2,,1.227783875810077e+3,-5.387838758100770e+2,,1.228410294998100e+3,-5.394102949980998e+2,,4.571400323106718e+2,2.318599676893282e+2
0.0000000000000000,0.0000000000000000,,1.031631313256866e+3,-1.031631313256866e+3,,9.937818142297834e+2,-9.937818142297834e+2,,9.937798895087635e+2,-9.937798895087635e+2,,7.524520171525349e+2,-7.524520171525349e+2
4.000000000000000e+0,1.685000000000000e+3,,8.623764393138800e+2,8.226235606861200e+2,,8.465074730694797e+2,8.384925269305203e+2,,8.459317460938165e+2,8.390682539061835e+2,,1.236324888925447e+3,4.486751110745531e+2
8.000000000000000e+0,2.080000000000000e+3,,7.965845541338050e+2,1.283415445866195e+3,,7.962457688158438e+2,1.283754231184156e+3,,7.952079883276355e+2,1.284792011672364e+3,,1.534183850299422e+3,5.458161497005781e+2
1.200000000000000e+1,1.143000000000000e+3,,8.414609817968349e+2,3.015390182031652e+2,,8.465631808866856e+2,2.964368191133144e+2,,8.452141854457150e+2,2.977858145542850e+2,,1.524800145307374e+3,-3.818001453073737e+2
1.600000000000000e+1,8.950000000000000e+2,,9.920654340957534e+2,-9.706543409575352e+1,,9.938892926855933e+2,-9.888929268559331e+1,,9.923955721848906e+2,-9.739557218489062e+1,,1.257519114076781e+3,-3.625191140767810e+2
2.000000000000000e+1,1.553000000000000e+3,,1.232613276547375e+3,3.203867234526251e+2,,1.227935710664940e+3,3.250642893350596e+2,,1.226454881295680e+3,3.265451187043204e+2,,9.518509181730728e+2,6.011490818269271e+2
2.400000000000000e+1,6.230000000000000e+2,,1.540359241815027e+3,-9.173592418150274e+2,,1.532884088437644e+3,-9.098840884376442e+2,,1.531543571586574e+3,-9.085435715865742e+2,,9.646182286701570e+2,-3.416182286701569e+2
2.800000000000000e+1,1.501000000000000e+3,,1.890409515541477e+3,-3.894095155414770e+2,,1.889152706063046e+3,-3.881527060630465e+2,,1.888035040420038e+3,-3.870350404200376e+2,,1.444497331262764e+3,5.650266873723603e+1
3.200000000000000e+1,1.747000000000000e+3,,2.259796828281958e+3,-5.127968282819574e+2,,2.275467765904956e+3,-5.284677659049562e+2,,2.274604450393451e+3,-5.276044503934509e+2,,2.149151524668769e+3,-4.021515246687690e+2
3.600000000000000e+1,3.272000000000000e+3,,2.629929124741835e+3,6.420708752581650e+2,,2.670936385153957e+3,6.010636148460430e+2,,2.670310349989330e+3,6.016896500106705e+2,,2.803206703992976e+3,4.687932960070234e+2
